Day fraction since midnight on 8/7/2024,raw (L/min),filter (volts),sludge (volts),turbidityInfluent (NTU),turbidityEffluent (NTU),turbidityClarified (NTU),turbidityTubeSettler (),coagulantDoseController (rpm),masterflexPumpController (),coagulantDose(mg/L) (),coagDoseToFlow(mL/s) (),setGlobalVariables (),flocculatedTurbidity (NTU),flocSaturation (),tubeSettlerController (),shiftedInfluent (NTU),DOM (mg/L)
0.38015751,30.48584938,0.38856283,0.4053804,26.33282852,2.52918386,0.0,0.55451077,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38021538,30.43206978,0.38831651,0.39933643,26.15994644,2.53044939,0.0,0.56108713,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38027325,30.24009705,0.38843337,0.40438768,26.06953049,2.53044939,9.99e-06,0.5598886,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38033113,30.12915421,0.38931972,0.40585458,25.96996689,2.53227305,0.0,0.57766503,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.380389,30.18727875,0.39020196,0.40213394,26.12354279,2.53671193,0.0,0.5699029,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38044686,30.17188644,0.39083812,0.40599602,26.12354279,2.52566481,0.0,0.56846333,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38050473,30.1450634,0.39145118,0.40343764,26.12354999,2.50589061,0.0,0.55426157,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3805626,30.12580299,0.39179334,0.40169528,26.25928116,2.51488757,0.0,0.55426157,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38062048,30.12541771,0.39216658,0.4015713,26.24345016,2.51488757,9.99e-06,0.55426999,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38067835,30.12782097,0.39187655,0.40831229,25.92883682,2.48600984,0.0,2.1813941,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38073622,30.14829254,0.39554462,0.408241,25.96154785,2.44992924,0.0,2.71314907,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38079409,30.11991501,0.4008365,0.40641934,25.87136459,2.42808223,0.0,3.16766429,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38085195,30.07856369,0.40916023,0.40678754,25.87136459,2.42808223,0.0,3.16766429,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38090983,30.07522202,0.42073622,0.40745762,26.35149002,2.47386718,0.0,3.91151643,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3809677,30.0527401,0.43136838,0.40401641,26.2409668,2.48213243,3.10875535,4.42170572,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38121723,29.95303917,0.47336105,0.40195635,26.24623871,9.44773865,157.18122864,5.28998089,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38125705,29.87635422,0.4809528,0.40149346,26.24623871,11.11391354,149.62109375,5.19171238,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38131492,29.83987617,0.49022448,0.4028866,26.29309082,16.34865189,145.51138306,5.35468102,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38137279,29.90775108,0.49761012,0.4064109,26.29520035,10.71413136,143.07725525,5.35468102,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38143067,29.92453766,0.50386631,0.40144503,26.08459473,4.24856615,140.77893066,5.2196641,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38148854,29.89927864,0.50909412,0.40398932,26.08138657,3.66688895,139.45330811,5.2196641,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3815464,29.844944,0.51384991,0.40666103,26.08138657,2.98656535,138.40348816,5.38436985,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38160428,29.89328766,0.51725101,0.40696299,26.08138999,2.98656535,138.40348816,5.38436985,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38166214,29.85989571,0.52083051,0.40460381,26.02479935,2.2131989,137.17340088,5.2743268,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38172001,29.74015236,0.52358526,0.40739623,26.05973816,1.38338196,140.45523071,6.66885948,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38190752,30.07092857,0.530729,0.41128087,25.774086,0.92984962,135.74610901,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3819515,30.05843544,0.53184396,0.40926951,25.75851059,0.90329272,133.84217834,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38200937,30.02145195,0.53480911,0.40253311,25.63871002,0.99838609,132.16073608,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38206723,29.96266556,0.53576887,0.40837416,25.63871002,1.14615679,132.16073608,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3821251,29.92949104,0.53700262,0.4097558,25.5438118,1.2407496,132.0884552,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38218298,29.96506119,0.53837609,0.40566054,25.58377838,1.34236348,132.0884552,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38224084,30.11506844,0.53987604,0.40531352,25.46501541,1.34236348,132.0884552,110.00000999,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38229872,30.23152351,0.54089886,0.40293035,25.36260605,1.44727647,127.80712128,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38235659,30.14693642,0.54175359,0.40574169,25.4810524,1.47388005,127.69384003,110.0,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38241446,30.06680679,0.54252243,0.39996547,25.465168,1.54274452,110.0,127.95155334,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38264377,30.09196091,0.54539633,0.40780994,25.53902054,1.76222587,110.0,122.69678497,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38264594,30.0931015,0.54541206,0.40764743,25.53902054,1.76222587,110.0,122.69678497,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38270381,30.05774307,0.54588366,0.40174919,25.80322266,1.83524799,110.0,121.5672226,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38276167,30.06665993,0.54636616,0.4049089,25.80322266,1.63408363,110.0,122.74259186,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38281955,30.09811592,0.54677916,0.40300861,25.61400986,1.47981656,110.0,132.39732361,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38287742,30.15219498,0.54697883,0.4067139,25.61400986,1.33492136,110.0,169.89974976,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38293529,30.08456612,0.54746866,0.40863231,25.52405548,1.22565508,110.0,195.54554749,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38299316,30.07058144,0.54753739,0.40312302,25.53171921,1.84874725,110.0,195.54554749,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38305104,30.16640282,0.54786807,0.40782109,25.53171921,1.84874725,110.0,195.54554749,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3831089,30.18237305,0.54811311,0.41166404,25.6962738,1.33687806,109.23313141,610.97576904,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38316678,30.02153778,0.54826826,0.41042817,25.40390396,1.22484493,79.43984222,566.42956543,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38322464,30.08819008,0.54856026,0.40432999,25.47852707,1.3141166,79.43984222,566.42956543,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38328253,30.14801216,0.54875797,0.40568131,25.34792328,1.15978014,34.98433304,334.90048218,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38334039,30.15427589,0.54913741,0.40465623,25.3396492,1.03867078,23.80182266,226.28303528,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38339826,30.18008804,0.54908651,0.40373513,25.3396492,1.01600218,20.80068398,152.35577393,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38345613,30.10586739,0.54930794,0.40414879,25.33964999,0.97794658,13.16736221,107.58899689,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.383514,30.11732674,0.5492931,0.40289015,25.37382126,0.96586114,13.16736221,81.48162842,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38357187,30.11548042,0.54939759,0.40459159,25.26458359,0.93809515,1.69705307,60.9076004,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
